% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.022	1	1	3	3	1	0	81	0	0
0.023	1	1	3	4	1	0	81	0	0
0.024	1	1	3	5	1	0	81	0	0
0.025	1	1	3	6	1	0	81	0	0
0.026	1	1	3	7	1	28	2196	0	0
0.027	1	1	3	8	1	28	2196	0	0
0.028	1	1	3	9	1	28	2196	0	0
0.029	1	1	3	10	1	28	2196	0	0
0.03	1	1	4	1	1	28	2196	0	0
0.031	1	1	4	2	1	28	2196	0	0
0.032	1	1	4	3	1	28	2196	0	0
0.033	1	1	4	4	1	28	2196	0	0
0.034	1	1	4	5	1	28	2196	0	0
0.035	1	1	4	6	1	28	2196	0	0
0.036	1	1	4	7	1	28	2196	0	0
0.037	1	1	4	8	1	28	2196	0	0
0.038	1	1	4	9	1	28	2196	0	0
0.039	1	1	4	10	1	28	2196	0	0
0.04	1	1	5	1	1	28	2196	0	0
0.041	1	1	5	2	1	28	2196	0	0
0.042	1	1	5	3	1	28	2196	0	0
0.043	1	1	5	4	1	28	2196	0	0
0.044	1	1	5	5	1	28	2196	0	0
0.045	1	1	5	6	1	28	2196	0	0
0.046	1	1	5	7	1	28	2196	0	0
0.047	1	1	5	8	1	28	2196	0	0
0.048	1	1	5	9	1	28	2196	0	0
0.049	1	1	5	10	1	28	2196	0	0
0.05	1	1	6	1	1	28	2196	0	0
0.051	1	1	6	2	1	28	2196	0	0
0.052	1	1	6	3	1	28	2196	0	0
0.053	1	1	6	4	1	28	2196	0	0
0.054	1	1	6	5	1	28	2196	0	0
0.055	1	1	6	6	1	28	2196	0	0
0.056	1	1	6	7	1	28	2196	0	0
0.057	1	1	6	8	1	28	2196	0	0
0.058	1	1	6	9	1	28	2196	0	0
0.059	1	1	6	10	1	28	2196	0	0
0.06	1	1	7	1	1	28	2196	0	0
0.061	1	1	7	2	1	28	2196	0	0
0.062	1	1	7	3	1	28	2196	0	0
0.063	1	1	7	4	1	28	2196	0	0
0.064	1	1	7	5	1	28	2196	0	0
0.065	1	1	7	6	1	28	2196	0	0
0.066	1	1	7	7	1	28	2196	0	0
0.067	1	1	7	8	1	28	2196	0	0
0.068	1	1	7	9	1	28	2196	0	0
0.069	1	1	7	10	1	28	2196	0	0
0.07	1	1	8	1	1	28	2196	0	0
0.071	1	1	8	2	1	28	2196	0	0
0.072	1	1	8	3	1	28	2196	0	0
0.073	1	1	8	4	1	28	2196	0	0
0.074	1	1	8	5	1	28	2196	0	0
0.075	1	1	8	6	1	28	2196	0	0
0.076	1	1	8	7	1	28	2196	0	0
0.077	1	1	8	8	1	28	2196	0	0
0.078	1	1	8	9	1	28	2196	0	0
0.079	1	1	8	10	1	28	2196	0	0
0.08	1	1	9	1	1	28	2196	0	0
0.081	1	1	9	2	1	28	2196	0	0
0.082	1	1	9	3	1	28	2196	0	0
0.083	1	1	9	4	1	28	2196	0	0
0.084	1	1	9	5	1	28	2196	0	0
0.085	1	1	9	6	1	28	2196	0	0
0.086	1	1	9	7	1	28	2196	0	0
0.087	1	1	9	8	1	28	2196	0	0
0.088	1	1	9	9	1	28	2196	0	0
0.089	1	1	9	10	1	28	2196	0	0
0.09	1	1	10	1	1	28	2196	0	0
0.091	1	1	10	2	1	28	2196	0	0
0.092	1	1	10	3	1	28	2196	0	0
0.093	1	1	10	4	1	28	2196	0	0
0.094	1	1	10	5	1	28	2196	0	0
0.095	1	1	10	6	1	28	2196	0	0
0.096	1	1	10	7	1	28	2196	0	0
0.097	1	1	10	8	1	28	2196	0	0
0.098	1	1	10	9	1	28	2196	0	0
0.099	1	1	10	10	1	28	2196	0	0
0.1	1	1	11	1	1	28	2196	0	0
0.101	1	1	11	2	1	28	2196	0	0
0.102	1	1	11	3	1	28	2196	0	0
0.103	1	1	11	4	1	28	2196	0	0
0.104	1	1	11	5	1	28	2196	0	0
0.105	1	1	11	6	1	28	2196	0	0
0.106	1	1	11	7	1	28	2196	0	0
0.107	1	1	11	8	1	28	2196	0	0
0.108	1	1	11	9	1	28	2196	0	0
0.109	1	1	11	10	1	28	2196	0	0
0.11	1	1	12	1	1	28	2196	0	0
0.111	1	1	12	2	1	28	2196	0	0
0.112	1	1	12	3	1	28	2196	0	0
0.113	1	1	12	4	1	28	2196	0	0
0.114	1	1	12	5	1	28	2196	0	0
0.115	1	1	12	6	1	28	2196	0	0
0.116	1	1	12	7	1	28	2196	0	0
0.117	1	1	12	8	1	28	2196	0	0
0.118	1	1	12	9	1	28	2196	0	0
0.119	1	1	12	10	1	28	2196	0	0
0.12	1	1	13	1	1	28	2196	0	0
0.121	1	1	13	2	1	28	2196	0	0
0.122	1	1	13	3	1	28	2196	0	0
0.123	1	1	13	4	1	28	2196	0	0
0.124	1	1	13	5	1	28	2196	0	0
0.125	1	1	13	6	1	28	2196	0	0
0.126	1	1	13	7	1	28	2196	0	0
0.127	1	1	13	8	1	28	2196	0	0
0.128	1	1	13	9	1	28	2196	0	0
0.129	1	1	13	10	1	28	2196	0	0
0.13	1	1	14	1	1	28	2196	0	0
0.131	1	1	14	2	1	28	2196	0	0
0.132	1	1	14	3	1	28	2196	0	0
0.133	1	1	14	4	1	28	2196	0	0
0.134	1	1	14	5	1	28	2196	0	0
0.135	1	1	14	6	1	28	2196	0	0
0.136	1	1	14	7	1	28	2196	0	0
0.137	1	1	14	8	1	28	2196	0	0
0.138	1	1	14	9	1	28	2196	0	0
0.139	1	1	14	10	1	28	2196	0	0
0.14	1	1	15	1	1	28	2196	0	0
0.141	1	1	15	2	1	28	2196	0	0
0.142	1	1	15	3	1	28	2196	0	0
0.143	1	1	15	4	1	28	2196	0	0
0.144	1	1	15	5	1	28	2196	0	0
0.145	1	1	15	6	1	28	2196	0	0
0.146	1	1	15	7	1	28	2196	0	0
0.147	1	1	15	8	1	28	2196	0	0
0.148	1	1	15	9	1	28	2196	0	0
0.149	1	1	15	10	1	28	2196	0	0
0.15	1	1	16	1	1	28	2196	0	0
0.151	1	1	16	2	1	28	2196	0	0
0.152	1	1	16	3	1	28	2196	0	0
0.153	1	1	16	4	1	28	2196	0	0
0.154	1	1	16	5	1	28	2196	0	0
0.155	1	1	16	6	1	28	2196	0	0
0.156	1	1	16	7	1	28	2196	0	0
