% time	cellId	IMSI	RNTI	rsrp	sinr
0.000214285	1	1	0	5.77677e-11	121785
0.00121429	1	1	0	5.77935e-11	121839
0.00221428	1	1	0	5.78194e-11	121894
0.00321428	1	1	0	5.78452e-11	121948
0.00421428	1	1	0	5.78711e-11	122003
0.00521428	1	1	0	5.7897e-11	122058
0.00621428	1	1	0	5.79229e-11	122112
0.00721428	1	1	0	5.79488e-11	122167
0.00821428	1	1	0	5.79747e-11	122221
0.00921428	1	1	0	5.80007e-11	122276
0.0102143	1	1	0	5.80267e-11	122331
0.0112143	1	1	0	5.80527e-11	122386
0.0122143	1	1	0	5.80787e-11	122441
0.0132143	1	1	0	5.81047e-11	122495
0.0142143	1	1	0	5.81307e-11	122550
0.0152143	1	1	0	5.81568e-11	122605
0.0162143	1	1	0	5.81828e-11	122660
0.0172143	1	1	0	5.82089e-11	122715
0.0182143	1	1	0	5.8235e-11	122770
0.0192143	1	1	0	5.82612e-11	122825
0.0202143	1	1	0	5.82873e-11	122880
0.0212143	1	1	1	5.83134e-11	122936
0.0222143	1	1	1	5.83396e-11	122991
0.0232143	1	1	1	5.83658e-11	123046
0.0242143	1	1	1	5.8392e-11	123101
0.0252143	1	1	1	5.84182e-11	123156
0.0262143	1	1	1	5.84445e-11	123212
0.0272143	1	1	1	5.84707e-11	123267
0.0282143	1	1	1	5.8497e-11	123322
0.0292143	1	1	1	5.85233e-11	123378
0.0302143	1	1	1	5.85496e-11	123433
0.0312143	1	1	1	5.85759e-11	123489
0.0322143	1	1	1	5.86022e-11	123544
0.0332143	1	1	1	5.86286e-11	123600
0.0342143	1	1	1	5.8655e-11	123656
0.0352143	1	1	1	5.86814e-11	123711
0.0362143	1	1	1	5.87078e-11	123767
0.0372143	1	1	1	5.87342e-11	123823
0.0382143	1	1	1	5.87606e-11	123878
0.0392143	1	1	1	5.87871e-11	123934
0.0402143	1	1	1	5.88135e-11	123990
0.0412143	1	1	1	5.884e-11	124046
0.0422143	1	1	1	5.88665e-11	124102
0.0432143	1	1	1	5.88931e-11	124157
0.0442143	1	1	1	5.89196e-11	124213
0.0452143	1	1	1	5.89462e-11	124269
0.0462143	1	1	1	5.89727e-11	124325
0.0472143	1	1	1	5.89993e-11	124381
0.0482143	1	1	1	5.90259e-11	124438
0.0492143	1	1	1	5.90526e-11	124494
0.0502143	1	1	1	5.90792e-11	124550
0.0512143	1	1	1	5.91059e-11	124606
0.0522143	1	1	1	5.91325e-11	124662
0.0532143	1	1	1	5.91592e-11	124719
0.0542143	1	1	1	5.91859e-11	124775
0.0552143	1	1	1	5.92127e-11	124831
0.0562143	1	1	1	5.92394e-11	124888
0.0572143	1	1	1	5.92662e-11	124944
0.0582143	1	1	1	5.92929e-11	125001
0.0592143	1	1	1	5.93197e-11	125057
0.0602143	1	1	1	5.93466e-11	125114
0.0612143	1	1	1	5.93734e-11	125170
0.0622143	1	1	1	5.94002e-11	125227
0.0632143	1	1	1	5.94271e-11	125283
0.0642143	1	1	1	5.9454e-11	125340
0.0652143	1	1	1	5.94809e-11	125397
0.0662143	1	1	1	5.95078e-11	125453
0.0672143	1	1	1	5.95347e-11	125510
0.0682143	1	1	1	5.95617e-11	125567
0.0692143	1	1	1	5.95886e-11	125624
0.0702143	1	1	1	5.96156e-11	125681
0.0712143	1	1	1	5.96426e-11	125738
0.0722143	1	1	1	5.96696e-11	125795
0.0732143	1	1	1	5.96967e-11	125852
0.0742143	1	1	1	5.97237e-11	125909
0.0752143	1	1	1	5.97508e-11	125966
0.0762143	1	1	1	5.97779e-11	126023
0.0772143	1	1	1	5.9805e-11	126080
0.0782143	1	1	1	5.98321e-11	126137
